Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Tags,Positive_Review_Label,Negative_Review_Label
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2025-01-27,8.1,The Friends Hostel,Argentina,it is a steep climb from the city centre also my bed made a fair amount of noise whenever i moved and climbing down top bunk wasnt that easy,genuine family vibe easy to socialise with the other guests friendly volunteers and owner the free breakfast was an unexpected perk and really nice check in was easy despite my flight being quite late free towel provided bed had curtains there were also umbrellas available which came in handy on a rainy day board games in the common area wifi seemed reliable enough lockers were small but free to use,10,"['Leisure trip', 'Solo traveler', 'Single Bed in Dormitory Room', 'Stayed 1 night']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2025-01-02,8.1,The Friends Hostel,United Kingdom,the owners were very cold  only seemed to care about making money they seemed unimpressed when i didnt get the extra breakfast but asked if i could use coffee for free compared to georgian hospitality i felt very underwhelmed  not like a paying guest,the owners were rude that said the hostel itself was nice  the unpaid volunteers were great,4,"['Leisure trip', 'Solo traveler', 'Bed in 4-Bed Female Dormitory Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2024-12-11,8.1,The Friends Hostel,Azerbaijan,everything was okay,good and kind personal,10,"['Leisure trip', 'Solo traveler', 'Single Bed in Mixed Dormitory Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2024-12-05,8.1,The Friends Hostel,Greece,unfortunately i only stayed for one night  would like to stay longer no more complains,it was the best hostel in my traveling experience the owners are friendly a bed and bed linen are comfortable and clean there are curtains light and 2 sockets so you can have privacy in dormitory the breakfast is hearty and variable every day also you can order a lunch which is like home the price is very affordable i will come back for sure,10,"['Leisure trip', 'Solo traveler', 'Single Bed in Dormitory Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2024-11-13,8.1,The Friends Hostel,Philippines,i have nothing except because the floor is made of wood its squeaking a lot when someone walks during bedtime but for me its not that bad really i prefer the looks and feel of the wooden floors the place is really accessible you can walk about 15 minutes from the city centre the location is on the uphill part so you may struggle if you have luggage and decides to walk take a cab,very clean and the feeling of being at home the place is just really nice i think though i stayed in a room with multiple bunk beds theres ample space and theres still privacy being very spacious and bunk beds have curtains too it comes with breakfast which is really great for the price,10,"['Leisure trip', 'Solo traveler', 'Single Bed in Mixed Dormitory Room', 'Stayed 2 nights']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2024-09-17,8.1,The Friends Hostel,United Arab Emirates,very bad experience no sign board outside no fan or ac in the room,nothing,3,"['Leisure trip', 'Solo traveler', 'Single Bed in Mixed Dormitory Room', 'Stayed 3 nights', 'Submitted from a mobile device']",0,0
18 Tsatskhvebi Street 4600 Kutaisi Georgia,2024-09-07,8.1,The Friends Hostel,Georgia,i like everything full friendly owner,very clean hostel very nice staff,10,"['Business trip', 'Solo traveler', 'Single Bed in Mixed Dormitory Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
Via Barana Borgo Venezia 37131 Verona Italy,2024-11-03,7.7,Villa Angelina,Australia,not a deal breaker for us but a thirty min walk to old town,super clean budget guesthouse value for money in verona kitchen contains toaster microwave fridge kettle and coffee machine nearby to great restaurants very friendly owner despite language barriers beds comfortable for great night sleep,9,"['Leisure trip', 'Couple', 'Double Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Via Barana Borgo Venezia 37131 Verona Italy,2025-04-25,7.7,Villa Angelina,Lithuania,room on the basement floor with a shared kitchen there was no coffee there is no heating the humidity is terrible in the morning we found worms in three places we didnt want to take pictures of all of them we didnt want to scare the children we found ants in the shower since we had another night in the morning after packing up we left early i asked the hostess to refund the 90e for the second night or at least part of it but she called them liars accused them of making up things that we had collected worms in the garden  when we talked to her and asked for money  she turned around and left without saying a word this is the most unpleasant stay in italy in several years i never thought there were such people i dont recommend villa angelina to anyone if i had refunded the money i wouldnt have written such a comment because everything happens to everyone as we understood from the review we werent the only ones  worms terrible,terrible,1,"['Leisure trip', 'Family with young children', 'Quadruple Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Via Barana Borgo Venezia 37131 Verona Italy,2025-03-16,7.7,Villa Angelina,Czech Republic,place was far off from picture provided on bookingcomgot room in wet basement size 5x5m for 4beds with low hanging chandelier the size of a spaceship dampness attracted insects having centipedes on the wall kitchen was a similar matter with second hand kitchen supplies coffee maker without coffee slept through and ran quickly away without even a shower,location was accesibleparking on spot lots of towels,2,"['Leisure trip', 'Family with young children', 'Quadruple Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
Via Barana Borgo Venezia 37131 Verona Italy,2024-12-02,7.7,Villa Angelina,Belgium,the rudness and impolitness of the owner was acting in a very savage and violante way,the owner was very unfriendly caused a whole fuse about being paid in cash after i already did the payment by card was very violante physically as verbally locked me out and telling me i ill not get my stuff back till i pay again in cash police has to be involved to solve the issue other family member of the owner was apologising for the disturbance and discomfort but this is unaccepteble,1,"['Business trip', 'Solo traveler', 'Single Room', 'Stayed 3 nights']",0,0
Via Barana Borgo Venezia 37131 Verona Italy,2024-09-29,7.7,Villa Angelina,Ireland,na,it was perfect the hostess is a super nice person super gentle the place is well located with everything nearby it was absolutely clean full equipped kitchen nice people we absolutely loved our stay if one day we go back to verona wed defo stay at angelinas again,10,"['Leisure trip', 'Couple', 'Double Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-04-21,8.5,Le Royale Palace,India,restaurant dinner was average but functional,functional free accommodation was provided for the night to our driver  however you have to ask for it,8,"['Leisure trip', 'Couple', 'Deluxe Twin Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-02-16,8.5,Le Royale Palace,India,food and cleanliness,very nice,10,"['Leisure trip', 'Family with young children', 'Deluxe Twin Room', 'Stayed 1 night', 'Submitted from a mobile device']",1,1
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-02-11,8.5,Le Royale Palace,Sri Lanka,some niggling start up issues which i am sure will get resolved with time and experience,almost everything,7,"['Leisure trip', 'Family with young children', 'Deluxe Twin Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-01-14,8.5,Le Royale Palace,India,cooking was nit good and food price is too high compare to thr quality,cleanness and staff behavior was too good,9,"['Business trip', 'Family with young children', 'Deluxe King Room', 'Stayed 4 nights', 'Submitted from a mobile device']",0,0
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-01-05,8.5,Le Royale Palace,India,room service and house keeping,food was good although the options were limited,8,"['Business trip', 'Solo traveler', 'Superior King Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
No 26 Thakkalur Thirunallar Rd Keezhavoor Village 609602 Karaikal India,2025-04-22,8.5,Le Royale Palace,Australia,i had the privilege to extend my stay beyond the two days and they moved me to a room with twin beds to a king size one the move was a breeze however the biggest negative for me were the beds and they need some work it was hard and uncomfortable each morning i woke up with a sore back which is something i could do without to the owners if you are reading this please consider changing the beds,the breakfast was great the two staff members providing frontline service were extremely hospitable hardworking and have made each visit to the restaurant pleasant and enjoyable a big kudos goes to the two,6,"['Leisure trip', 'Family with young children', 'Deluxe Twin Room', 'Stayed 2 nights']",0,0
75 Mortlake Road Ilford IG1 2SY United Kingdom,2024-09-05,8.8,EQU London,United Kingdom,everything near by shopping food town very close by,nice n clean thanks  everything near z home  we tried to book in future x,8,"['Leisure trip', 'Couple', 'Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
75 Mortlake Road Ilford IG1 2SY United Kingdom,2024-09-02,8.8,EQU London,United Kingdom,its neat and tidy,the property was very neat and tidy,10,"['Couple', 'Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
75 Mortlake Road Ilford IG1 2SY United Kingdom,2024-10-18,8.8,EQU London,United Kingdom,location no where to park,nothing,5,"['Leisure trip', 'Couple', 'Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2025-04-19,6.3,Hotel O HAVEN INN,India,the outside room was not clean,good location decent stay decent room with led flat screen tv along with wifi access,7,"['Leisure trip', 'Family with young children', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2025-04-14,6.3,Hotel O HAVEN INN,India,nothing,nice,8,"['Business trip', 'Couple', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",1,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2025-01-19,6.3,Hotel O HAVEN INN,India,after plugged in the all out still mosquitoes were roaming around,interior,10,"['Leisure trip', 'Couple', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2025-01-08,6.3,Hotel O HAVEN INN,India,carry mosquito repellents,locality is nice and quiet staffs are polite and friendly and respectful,10,"['Business trip', 'Couple', 'Standard Double Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2025-01-08,6.3,Hotel O HAVEN INN,India,very smeely rooms with mosquitos and no one available at reception horrible stay,not clean with lots of mosquitos nothing to be liked,1,"['Leisure trip', 'Family with young children', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2024-12-30,6.3,Hotel O HAVEN INN,India,staffs are really bad property feels like a shaddy place it was dirty and there was no proper toilet it was just a kitchen which had been turned into a bathroom,nothing such,1,"['Leisure trip', 'Family with young children', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2024-12-11,6.3,Hotel O HAVEN INN,India,room service not good not received bill yet,walkable distance for all sorts,8,"['Business trip', 'Solo traveler', 'Standard Double Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2024-11-09,6.3,Hotel O HAVEN INN,Qatar,yes,yes,10,"['Business trip', 'Solo traveler', 'Standard Double Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
BB123 Street No 146 Pride Plaza Near Chawman Action Area I Newtown Rajarhat Kolkata  700156 Kolkata India,2024-09-27,6.3,Hotel O HAVEN INN,Colombia,location,punit was very nicevery helpful,9,"['Business trip', 'Solo traveler', 'Standard Double Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
6511401 Hyogo Kobe 15821 Japan,2025-04-22,8.9,,United States,the onsen is surprisingly small,the room is super spacious,10,"['Leisure trip', 'Family with young children', 'Deluxe Family Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
6511401 Hyogo Kobe 15821 Japan,2025-04-18,8.9,,Norway,would have been nice with staff more fluent in english but we were the only nonasian guests,fantastic hike from kobe via mount rokko to the lovely town of arima onsen first attempt at the ryokan experience and enjoyed it even if we prefer sleeping in proper beds the hot springs made the bath experience much better than others hotels where we have stayed lovely food both at dinner and breakfast,8,"['Leisure trip', 'Couple', 'Japanese-Style Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
6511401 Hyogo Kobe 15821 Japan,2025-02-19,8.9,,Canada,bit pricey for what it was having to cover my tattoos to use the facilities futon is stiff but thats expected,food was great room was large beautiful and well furnished the tea set was also very nice,8,"['Leisure trip', 'Solo traveler', 'Japanese-Style Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
6511401 Hyogo Kobe 15821 Japan,2024-11-15,8.9,,United States,we wish that the property were a bit closer to the center of the town,great amenities including hot spring baths an indoor swimming pool a spacious lounge area with free drinks the staff was all friendly and helpful we were particularly grateful that we were able to check in upon arrival even though it was before the check in time many thanks for that,9,"['Leisure trip', 'Family with young children', 'Japanese-Style Room', 'Stayed 2 nights', 'Submitted from a mobile device']",0,1
6511401 Hyogo Kobe 15821 Japan,2024-10-16,8.9,,Canada,quite a bit of a walk up a hill hard to do with luggages had to take a taxi up atleast it was only 7,breakfast had a lot of variety even if you dont like fish or porc room was great and the open air bath was very relaxing staff is super friendly and will try there best to speak english andor point for easy information transfer,9,"['Business trip', 'Solo traveler', 'Japanese-Style Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
6511401 Hyogo Kobe 15821 Japan,2024-12-25,8.9,,Singapore,too simple for welcome drinks,feeling relax to have two onsen choices,7,"['Leisure trip', 'Family with young children', 'Japanese-Style Room', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-04-23,9.1,Apartamento El Cortijo,Spain,all very good ,we really enjoyed staying in the appartment with stunning views everything was thought for us to have a comfortable stay and comunication was very easy and friendly mojacar itself is a nice white spanish town worth visiting the only chalange but also a big advantage if you would like a bit of training is the fact that mojacar is on the very steep hill and the apartment is in the middle so there was never a chance to miss climbing up or down from parking up the hill to the apartment  from the apartmet up the hill further into the oldtown and then down and then up again we came home more fit for sure we recomand this nice place 100,10,"['Leisure trip', 'Family with young children', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-04-04,9.1,Apartamento El Cortijo,Spain,the apartment is lacking a full length mirror as i am too short to see in the one on the wall and i would of liked some cushions on the sofa,the apartment is in a great location and its very cute with amazing views,10,"['Leisure trip', 'Couple', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-02-22,9.1,Apartamento El Cortijo,United Kingdom,there were lots of steps to climb if you use the bottom car park and then down again once inside the apartment door but well worth the visit,its a lovely apartment  fantastic views the apartment has everything you need for an enjoyable stay,8,"['Leisure trip', 'Family with young children', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-02-18,9.1,Apartamento El Cortijo,United Kingdom,pillows are a bit hard,lovely balcony and fresh coffee in a jar was a bonus,9,"['Couple', 'Two-Bedroom Apartment', 'Stayed 5 nights', 'Submitted from a mobile device']",0,1
Calle Barranco 1 04638 Mojcar Spain,2024-12-28,9.1,Apartamento El Cortijo,United Kingdom,light not working in kitchen cooking area and couldnt get cooker extractor to work,location of property and views from balcony,9,"['Leisure trip', 'Family with young children', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2024-10-05,9.1,Apartamento El Cortijo,United Kingdom,nothing really perhaps could be an access problem for someone with restricted mobility but i think that applies generally to mojacar dont let it put you off,very good size apartment and just as per the photos would be more than happy to stay there again and lovely views out to the mediterranean very well equipped kitchen as good as you can get,9,"['Leisure trip', 'Couple', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-01-18,9.1,Apartamento El Cortijo,Spain,it was really cold on arrival heaters switched on a few hours before would have helped beds were hard,location views good communication nice apartment,7,"['Leisure trip', 'Family with young children', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Calle Barranco 1 04638 Mojcar Spain,2025-01-26,9.1,Apartamento El Cortijo,United Kingdom,we have nothing negative to say,excellent view spacious accommodation which is quirky and lovely close to old town centre parking nearby very good value for money,9,"['Leisure trip', 'Couple', 'Two-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Belihuloya Adventure Camp By Eco Team Olithanna Road Kinchigune Belihuloya 70140 Belihuloya Sri Lanka,2025-01-11,9.1,Belihuloya Adventure Camp By Eco Team,Sri Lanka,they should mention that there is no electricity in the tents,the excursions and everything,9,"['Leisure trip', 'Family with young children', 'Lake View Tent', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
Belihuloya Adventure Camp By Eco Team Olithanna Road Kinchigune Belihuloya 70140 Belihuloya Sri Lanka,2024-10-01,9.1,Belihuloya Adventure Camp By Eco Team,Sri Lanka,there was nothing i didnt like,loved every bit of it it was located close to the reservoir and the view was excellent i had the chance to engage in activities too i went canoeing and enjoyed the view while ziplining the early morning mini nature walk was rejuvenating the tents were clean with a bed the food was amazing with authentic sri lankan dishes i cannot forget the staff their service was topnotch in attending to every need and request the cool climate and the tranquil surroundings were just the thing i needed i would recommend it to any nature and adventure lover,10,"['Leisure trip', 'Solo traveler', 'Lake View Tent', 'Stayed 1 night']",0,0
Belihuloya Adventure Camp By Eco Team Olithanna Road Kinchigune Belihuloya 70140 Belihuloya Sri Lanka,2024-09-23,9.1,Belihuloya Adventure Camp By Eco Team,Sri Lanka,nothing,the location was breathtaking showcasing gorgeous views of the samanalawewa reservoir the campsite accommodations were comfortable offering an authentic camping experience we had the opportunity to enjoy kayaking and ziplining and the experience was truly unforgettable the staff was exceptionally hospitable making us feel completely at home their enthusiasm for the outdoors and commitment to providing a memorable experience really stood out,10,"['Business trip', 'Solo traveler', 'Lake View Tent', 'Stayed 1 night']",0,0
Belihuloya Adventure Camp By Eco Team Olithanna Road Kinchigune Belihuloya 70140 Belihuloya Sri Lanka,2024-09-19,9.1,Belihuloya Adventure Camp By Eco Team,Sri Lanka,nothing,the food was exceptional and the location was beautiful and serene with stunning views of samanalawewa reservoir the staff was friendly and smiling we engaged in a couple of activities  kayaking and high rope adventures with zip lining experience the activity guides were concerned about the safety very much and they were well trained a great experience,9,"['Business trip', 'Solo traveler', 'Lake View Tent', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
Residensi Trofi 2 55200 Kuala Lumpur Malaysia,2024-09-26,9.0,KL City View at Trion 2 by HCK,Malaysia,,the house was clean and tidy amenities was great especially the gym room location is strategic near to city centre,10,"['Leisure trip', 'Couple', 'Two-Bedroom Suite', 'Stayed 1 night', 'Submitted from a mobile device']",0,1
Godogani 4600 Godogani Georgia,2024-09-12,9.6,Cottage in nature,Qatar,nothing,my stay at this cottage was nothing short of perfect and it started with the exceptional hospitality of mr erakle and mrs natia from the moment we arrived their kindness and supportiveness made us feel incredibly welcomed and at home they went above and beyond to ensure our comfort providing thoughtful touches that truly made a difference in our stay the location of the cottage was ideal set in a serene and picturesque area that was a true escape from the hustle and bustle of everyday life the surrounding nature was soulsoothing offering the perfect environment to relax and unwind waking up to the sounds of birds and the sight of lush greenery was a daily delight that added so much to the overall experience in terms of amenities the cottage was perfectly equipped it had all the necessary utensils and facilities we could possibly need making our stay convenient and hasslefree everything was clean and wellmaintained reflecting the care and attention to detail of our hosts you could tell that the place was assembled with love creating a warm and inviting atmosphere that made our time there truly special overall i couldnt have asked for a better stay if youre looking for a peaceful retreat with wonderful hosts and a stunning location i highly recommend this cottage its a hidden gem that offers comfort tranquility and a genuine sense of hospitality,10,"['Leisure trip', 'Family with young children', 'One-Bedroom Chalet', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
Anley Road Hammersmith and Fulham London W14 0BY United Kingdom,2025-02-27,9.0,Lovely Garden Flat In Central London,Australia,more linen towels and sheets should have been provided as we stayed 9 nights place needs a little maintenance  hosts have taken this on board,the location was great close to various underground lines and buses it was clean and quite spacious communication by hosts also excellent,8,"['Leisure trip', 'Family with young children', 'One-Bedroom Apartment', 'Stayed 9 nights', 'Submitted from a mobile device']",0,0
Anley Road Hammersmith and Fulham London W14 0BY United Kingdom,2024-10-28,9.0,Lovely Garden Flat In Central London,United Kingdom,was only left 14 roll of toilet paper with no spares  no hairdryer in flat oven was broken sofa bed wasnt very comfortable,clean and in a good location nice to have a garden space host communicated with us,6,"['Leisure trip', 'Family with young children', 'One-Bedroom Apartment', 'Stayed 2 nights', 'Submitted from a mobile device']",0,0
81 York Street 4810 Bunnythorpe New Zealand,2025-02-10,6.1,Ashhurst Deer N Duck Inn,New Zealand,false advertising said it had air conditioning  it didnt was so hot could barely sleep,loved the old style building,5,"['Leisure trip', 'Couple', 'Double Room with Private Bathroom', 'Stayed 4 nights', 'Submitted from a mobile device']",0,0
81 York Street 4810 Bunnythorpe New Zealand,2024-11-08,6.1,Ashhurst Deer N Duck Inn,New Zealand,bathrooms in both bedrooms family room and double room were very small,the ownersstaff were very obliging in accomodating our large group of 6 adults and 2 children they were helpful and friendly they also let us bring in our own bedding for the 2 children a matteress on the floor which worked perfectly the location was close to a family function that we were attending which was why we didnt get to eat at the inn but we heard that it was very popular the kitchen which was down the hallway was adequate and contained everything we needed toaster jug small fridge to make breakfast,7,"['Business trip', 'Solo traveler', 'Family Room', 'Stayed 3 nights']",0,0
81 York Street 4810 Bunnythorpe New Zealand,2024-11-08,6.1,Ashhurst Deer N Duck Inn,New Zealand,the shower in the family room leaked badly so the bath mat was soaking bathrooms in both rooms were quite cramped the cooking smells drifted upstairs and the window wouldnt stay open tv remote wouldnt work in the double room and the family room didnt have one,the location was perfect the beds were comfy and warm the hosts were accomodating and helpful i booked 2 rooms 1 family and 1 double there were 6 adults and 2 children and they let us bring in a blow up bed and bedding to accomodate us so we slept 4 in each we did not eat in the restaurant as we were attending a big family weekend,7,"['Business trip', 'Solo traveler', 'Double Room with Private Bathroom', 'Stayed 3 nights']",0,0
81 York Street 4810 Bunnythorpe New Zealand,2025-03-26,6.1,Ashhurst Deer N Duck Inn,New Zealand,restaurant not being open but there were good takeaways in the village and good facilities to microwave make toast with good cutlery and crockery,had all the basics i needed good kitchenette very clean unusual key was left where instructed,8,"['Business trip', 'Solo traveler', 'Double Room with Private Bathroom', 'Stayed 1 night', 'Submitted from a mobile device']",0,0
